queid,userid,result,difficulty,tstamp
1,user105,1,very hard,75634
21,user106,0,hard,80425
1,user107,0,very hard,76960
21,user108,1,very hard,2147483647
1,user109,0,easy,2147483647
22,user106,0,very hard,70110
21,user115,1,medium,2147483647
22,user108,1,easy,43574
2,user107,0,hard,77693
22,user115,1,medium,19381
2,user105,0,hard,120101
1,user114,0,medium,2147483647
23,user108,1,easy,2147483647
23,user106,0,medium,61521
3,user107,0,medium,44571
2,user109,0,easy,72941
3,user105,1,medium,39652
23,user115,0,hard,48560
2,user114,0,very hard,55512
4,user107,0,very hard,36346
1,user118,0,very hard,102013
24,user108,1,hard,64328
5,user107,0,very hard,21406
24,user115,1,medium,42158
25,user108,0,very hard,13242
3,user109,0,medium,68004
25,user115,0,hard,12823
21,user120,1,medium,120149
3,user114,0,very hard,46216
6,user107,0,hard,19621
24,user106,0,hard,106673
2,user118,0,very hard,61549
26,user108,0,medium,28126
7,user107,0,medium,16307
26,user115,0,hard,25892
22,user120,0,hard,22007
4,user105,0,very hard,103773
27,user108,0,hard,15073
4,user109,0,hard,50552
8,user107,0,hard,18482
4,user114,0,very hard,43459
27,user115,0,very hard,29487
28,user108,0,very hard,23966
5,user105,0,very hard,35203
5,user114,0,very hard,24761
28,user115,0,very hard,18179
9,user107,0,hard,33427
5,user109,0,medium,41246
3,user118,0,very hard,72404
6,user105,0,very hard,20970
29,user115,1,medium,14083
29,user108,0,very hard,25659
6,user114,0,very hard,20793
6,user109,0,medium,29743
30,user108,0,hard,2147483647
30,user115,1,medium,25629
23,user120,0,medium,96732
7,user105,0,hard,30432
10,user107,0,very hard,49041
7,user114,0,very hard,31069
31,user108,0,very hard,9165
25,user106,0,medium,121629
11,user107,0,hard,14905
8,user114,1,very hard,20556
31,user115,1,easy,29785
32,user108,0,easy,24136
32,user115,0,medium,13305
7,user109,0,medium,53818
12,user107,0,hard,28713
33,user108,0,very hard,11003
4,user118,0,very hard,98637
24,user120,0,hard,67656
33,user115,1,easy,17081
26,user106,0,medium,64400
34,user108,0,hard,26905
5,user118,0,very hard,17953
9,user114,0,very hard,54972
34,user115,0,medium,14795
13,user107,0,very hard,2147483647
10,user114,0,very hard,13049
35,user108,0,hard,24542
14,user107,0,hard,18641
35,user115,0,easy,31008
4,user117,0,very hard,2147483647
8,user109,0,medium,71038
25,user120,0,hard,2147483647
36,user108,0,hard,11228
8,user105,0,hard,126772
11,user114,1,very hard,22322
15,user107,0,hard,13108
6,user117,0,very hard,2147483647
9,user109,0,medium,18054
16,user107,0,hard,12442
7,user117,1,very hard,3693
37,user108,0,very hard,18494
12,user114,0,very hard,16511
6,user118,0,very hard,63881
8,user117,0,very hard,3171
36,user115,1,medium,32418
7,user118,0,very hard,6697
17,user107,0,very hard,15975
9,user117,0,very hard,11533
8,user118,0,very hard,8257
38,user108,0,hard,18901
13,user114,0,very hard,20909
10,user117,0,very hard,4362
11,user117,0,very hard,4516
12,user117,0,very hard,3665
13,user117,0,very hard,4472
18,user107,0,very hard,32472
39,user108,0,hard,27381
37,user115,0,very hard,44562
14,user114,0,very hard,28386
14,user117,0,very hard,4635
10,user109,0,medium,64589
9,user118,0,very hard,36587
15,user117,0,very hard,3645
19,user107,0,hard,12112
16,user117,0,very hard,4332
40,user108,0,very hard,15313
15,user114,0,very hard,15878
9,user105,0,medium,97951
20,user107,0,very hard,5377
27,user106,0,very hard,154778
17,user117,0,very hard,4884
10,user118,0,very hard,16672
26,user120,0,very hard,115279
21,user128,0,medium,84711
21,user126,0,medium,121112
18,user117,0,very hard,9241
16,user114,1,very hard,27120
11,user109,0,medium,43935
1,user127,0,medium,103118
1,user125,0,hard,2147483647
19,user117,0,very hard,11606
38,user115,0,very hard,54813
10,user105,0,very hard,32784
22,user126,0,medium,25060
20,user117,0,very hard,5997
11,user118,0,very hard,34972
22,user128,1,medium,31246
2,user127,0,hard,14626
12,user118,0,very hard,5668
13,user118,0,very hard,4152
17,user114,0,very hard,31506
39,user115,1,hard,22672
27,user120,0,hard,54164
12,user109,0,medium,36873
3,user127,0,medium,15111
23,user128,0,medium,19727
14,user118,0,very hard,7419
40,user115,0,very hard,12594
2,user125,0,hard,46960
4,user127,0,medium,10722
15,user118,0,very hard,9380
23,user126,0,easy,54872
24,user128,0,easy,27490
5,user127,0,medium,16479
13,user109,0,easy,36169
6,user127,0,very hard,4645
3,user125,0,very hard,26537
18,user114,1,very hard,50752
7,user127,0,medium,4362
24,user126,0,easy,20513
11,user105,1,very hard,88681
8,user127,0,easy,4512
9,user127,0,easy,3257
25,user128,0,hard,29440
19,user114,0,very hard,17785
25,user126,0,medium,13618
28,user106,0,very hard,139200
10,user127,0,hard,5993
12,user105,0,very hard,16531
1,user130,0,medium,34000
11,user127,0,hard,4435
4,user125,0,medium,38079
26,user128,0,hard,20043
20,user114,0,very hard,18547
14,user109,0,medium,51179
12,user127,0,medium,5822
13,user105,0,hard,17926
1,user129,0,hard,47304
26,user126,0,medium,28171
13,user127,0,medium,7375
28,user120,1,easy,111967
27,user128,0,hard,18121
1,user136,0,medium,75702
5,user125,0,very hard,28697
14,user105,0,very hard,15396
14,user127,0,medium,11051
15,user105,0,very hard,10921
15,user127,0,hard,8379
15,user109,0,medium,40697
16,user127,0,easy,8337
2,user130,0,medium,2147483647
28,user128,0,medium,31402
2,user136,0,easy,31530
16,user109,0,medium,10299
16,user105,0,very hard,14377
29,user120,0,medium,35775
2,user129,0,hard,2147483647
6,user125,0,very hard,32982
17,user127,0,medium,5739
27,user126,0,hard,50270
29,user106,0,medium,83056
1,user142,0,hard,2147483647
17,user109,0,medium,14608
17,user105,0,very hard,13717
29,user128,0,hard,25457
1,user144,0,medium,81003
3,user130,1,hard,40982
18,user109,0,easy,20207
1,user148,1,hard,2147483647
18,user127,0,medium,36440
28,user126,0,hard,32731
7,user125,0,very hard,2147483647
1,user147,1,very hard,2147483647
19,user127,0,hard,7549
3,user129,0,hard,52788
30,user128,1,easy,2147483647
2,user142,0,medium,49018
20,user127,0,medium,8869
19,user109,0,easy,26557
18,user105,0,hard,54548
3,user136,0,hard,76153
31,user128,1,medium,13588
4,user129,0,medium,17910
29,user126,1,medium,38702
20,user109,0,medium,11171
8,user125,1,hard,40633
5,user129,0,very hard,15295
4,user130,0,very hard,58628
19,user105,0,very hard,21706
32,user128,0,hard,23390
9,user125,0,hard,11842
6,user129,0,medium,13646
6,user129,0,medium,13646
20,user105,0,very hard,11499
5,user130,0,hard,14528
2,user148,0,hard,75588
2,user144,0,hard,92848
30,user126,0,medium,33493
4,user136,0,very hard,43409
10,user125,0,hard,16296
2,user147,0,easy,80257
33,user128,0,very hard,23561
30,user106,1,medium,122409
30,user120,1,easy,132178
7,user129,0,very hard,17660
1,user143,0,easy,2147483647
6,user130,0,medium,2147483647
11,user125,0,medium,20795
34,user128,0,medium,15849
31,user126,1,easy,26381
31,user126,1,easy,26381
3,user142,0,medium,88770
5,user136,0,very hard,30853
8,user129,0,hard,23758
7,user130,0,easy,16767
12,user125,0,hard,15637
2,user143,0,easy,2147483647
35,user128,0,hard,20568
6,user136,0,easy,15668
4,user142,1,easy,20956
8,user130,0,very hard,12087
13,user125,0,hard,13483
9,user129,0,medium,21907
36,user128,0,easy,11628
3,user147,0,very hard,60707
3,user148,0,medium,76825
9,user130,0,easy,16702
14,user125,0,hard,13137
37,user128,0,very hard,14871
7,user136,0,hard,31003
5,user142,0,hard,28558
15,user125,0,hard,7646
10,user129,0,medium,27748
16,user125,0,very hard,7488
8,user136,0,hard,18380
32,user126,0,hard,77662
10,user130,0,medium,30401
17,user125,0,hard,8953
3,user143,1,medium,63862
3,user144,1,medium,119675
38,user128,0,medium,33651
1,user132,0,hard,55205
11,user129,0,medium,28727
11,user130,0,medium,14272
6,user142,0,medium,50900
31,user106,0,hard,133714
12,user130,0,easy,15653
32,user106,0,hard,6342
12,user129,0,very hard,23531
13,user130,0,very hard,7030
33,user106,0,very hard,4972
1,user139,0,medium,94970
33,user126,1,medium,51555
39,user128,1,medium,34961
9,user136,0,medium,59045
34,user106,0,very hard,4935
35,user106,0,very hard,5232
2,user139,0,medium,14116
13,user129,0,medium,26802
4,user147,0,very hard,114208
14,user130,0,medium,23447
4,user148,0,easy,107630
36,user106,0,very hard,6427
18,user125,0,hard,77289
37,user106,0,hard,4918
40,user128,0,easy,32954
2,user132,0,hard,70964
34,user126,0,medium,39195
14,user129,1,medium,20124
3,user139,0,medium,25486
15,user130,0,easy,18467
38,user106,0,very hard,7474
31,user120,1,easy,202434
39,user106,0,very hard,4705
10,user136,0,very hard,53068
4,user143,0,easy,2147483647
16,user130,0,easy,13625
4,user144,0,hard,108831
15,user129,0,very hard,19524
40,user106,0,hard,7263
32,user120,0,medium,15360
17,user130,0,easy,15885
16,user129,0,hard,12076
11,user136,0,very hard,25357
5,user147,0,very hard,67020
3,user132,0,medium,56698
19,user125,1,hard,65442
35,user126,0,easy,58728
5,user148,0,easy,88772
12,user136,0,very hard,21233
17,user129,0,hard,30537
36,user126,0,easy,10755
17,user129,0,hard,30537
7,user142,0,medium,2147483647
17,user129,0,hard,30537
18,user130,0,medium,39105
5,user144,0,medium,58978
33,user120,0,hard,62717
6,user148,0,easy,22616
6,user147,0,very hard,44890
13,user136,0,easy,23619
20,user125,0,medium,36490
34,user120,0,hard,8442
19,user130,0,hard,16686
35,user120,0,easy,5537
20,user130,0,very hard,10151
5,user143,0,easy,2147483647
14,user136,1,very hard,20054
4,user139,0,hard,125075
37,user126,0,hard,56309
7,user147,0,easy,37566
5,user139,0,hard,5992
6,user144,0,medium,54323
15,user136,0,hard,18471
4,user132,0,hard,92974
16,user136,0,easy,17173
8,user142,0,medium,74122
7,user144,1,medium,25252
38,user126,0,hard,32228
6,user139,0,hard,33321
6,user143,0,easy,58230
17,user136,0,very hard,26491
7,user148,0,hard,2147483647
5,user132,0,hard,45190
39,user126,0,medium,29124
8,user144,0,medium,33168
7,user143,0,easy,24528
7,user139,0,hard,30691
9,user142,0,easy,36468
7,user139,0,hard,30691
9,user144,0,hard,3858
8,user143,0,easy,5254
18,user136,0,very hard,24338
10,user144,0,medium,5200
9,user143,0,easy,3733
36,user120,0,hard,116291
11,user144,0,easy,6334
9,user139,0,medium,23291
10,user143,0,easy,3545
12,user144,0,very hard,4606
10,user139,0,medium,3820
37,user120,0,hard,11904
13,user144,1,hard,3368
11,user143,0,easy,4090
40,user126,0,hard,41757
6,user132,0,medium,48048
1,user104,0,easy,87157
11,user139,0,medium,5110
12,user143,0,easy,5655
12,user143,0,easy,5655
14,user144,0,medium,8048
19,user136,0,very hard,37814
8,user148,0,hard,66191
12,user139,1,medium,6097
13,user143,0,medium,3867
13,user143,0,medium,3867
15,user144,0,medium,4195
10,user142,0,medium,62445
