queid,userid,result,difficulty,tstamp
1,user101,1,medium,52185
1,user103,1,easy,60291
2,user101,1,hard,45467
2,user103,1,easy,53118
1,user116,1,easy,19179
1,user110,0,easy,83158
2,user116,1,medium,16964
1,user113,1,easy,81497
16,user104,0,easy,200876
16,user102,0,hard,232955
17,user104,1,easy,30291
18,user104,1,easy,21499
1,user111,1,hard,181567
3,user116,1,medium,85140
16,user112,0,medium,187920
16,user112,0,medium,187920
3,user101,0,very hard,2147483647
2,user110,0,hard,113050
2,user111,0,hard,35936
16,user117,0,very hard,154438
2,user113,0,hard,1000
4,user116,0,medium,43408
17,user117,0,very hard,7137
16,user119,1,easy,145716
16,user121,1,easy,123967
19,user104,0,medium,88636
1,user122,0,medium,125528
17,user102,1,easy,131151
18,user112,0,easy,60765
5,user116,1,medium,33043
18,user117,1,very hard,38124
3,user113,0,medium,53365
4,user101,1,very hard,91017
19,user117,1,very hard,9806
1,user124,0,easy,140213
20,user117,0,very hard,7122
5,user101,1,easy,17583
21,user117,0,very hard,5540
19,user112,0,easy,53524
3,user103,0,hard,304209
19,user112,0,easy,53524
18,user102,1,easy,63547
22,user117,0,very hard,14033
23,user117,0,very hard,6812
24,user117,0,very hard,2685
6,user116,0,very hard,75723
25,user117,0,very hard,3602
21,user112,0,medium,34479
4,user113,1,easy,69055
19,user102,0,easy,37990
7,user116,1,medium,15590
26,user117,0,very hard,13203
5,user113,1,medium,14327
6,user113,1,easy,10092
8,user116,1,medium,19369
22,user112,1,medium,32733
17,user121,1,easy,149476
17,user119,1,easy,151157
27,user117,1,very hard,34364
9,user116,1,easy,2147483647
28,user117,0,very hard,2937
3,user110,1,easy,215125
29,user117,0,very hard,3346
18,user119,1,easy,23713
18,user121,1,easy,21114
20,user104,1,medium,176440
30,user117,1,very hard,3042
7,user113,0,easy,41468
23,user112,0,hard,38812
3,user111,1,medium,206378
2,user122,0,hard,192298
4,user103,1,easy,147752
21,user104,1,easy,37791
19,user119,0,easy,47089
20,user102,1,easy,112245
19,user121,0,easy,39284
6,user101,0,very hard,186436
5,user103,1,easy,47054
7,user101,1,easy,18595
10,user116,0,medium,109449
22,user104,1,easy,66183
8,user101,1,medium,20800
8,user113,1,easy,109994
24,user112,0,medium,117744
11,user116,1,easy,40614
9,user101,1,easy,26305
2,user124,1,hard,1000
9,user113,0,medium,36643
21,user102,1,easy,114990
10,user113,1,hard,12772
4,user110,1,easy,189697
4,user111,1,easy,167692
6,user103,0,medium,98273
11,user113,0,medium,15566
20,user121,1,easy,146413
20,user119,1,easy,149554
23,user104,0,hard,95452
5,user110,0,easy,29304
5,user111,0,easy,30649
16,user123,1,medium,47927
22,user102,1,easy,47743
12,user113,0,medium,24560
7,user103,1,easy,38185
1,user130,0,medium,127563
13,user113,0,hard,16325
1,user129,0,medium,118313
1,user133,0,medium,103207
1,user134,0,medium,63700
21,user119,1,easy,77152
1,user133,0,medium,103207
1,user133,0,medium,103207
1,user133,0,medium,103207
21,user121,1,easy,78219
1,user133,0,medium,103207
6,user110,0,easy,71393
14,user113,0,medium,43526
6,user111,0,easy,71759
1,user108,1,easy,88167
1,user135,1,easy,46384
1,user107,1,easy,105262
21,user121,1,easy,78219
8,user103,1,easy,65983
12,user116,0,easy,161456
15,user113,1,medium,16093
1,user133,0,medium,4786
13,user116,0,easy,4248
17,user123,1,easy,88737
14,user116,0,easy,5227
25,user112,0,medium,195575
24,user104,0,hard,1000
3,user124,1,medium,184667
3,user122,1,easy,316739
1,user145,1,very hard,22147
7,user110,0,easy,51646
18,user123,1,easy,23705
9,user103,1,easy,29398
7,user111,1,easy,63028
10,user101,0,very hard,210974
2,user135,1,easy,64044
2,user134,0,very hard,76564
22,user119,1,easy,70742
22,user121,1,easy,56362
1,user137,0,easy,19779
1,user138,0,hard,113862
2,user107,0,very hard,73655
15,user116,1,medium,48490
26,user112,0,medium,46552
2,user108,1,medium,89875
2,user138,1,medium,15612
2,user133,0,hard,76119
2,user137,0,easy,25958
2,user137,0,easy,25958
8,user111,1,easy,36412
8,user110,1,medium,50790
23,user102,0,medium,185837
3,user145,1,very hard,7809
27,user112,1,easy,2147483647
1,user146,1,medium,52959
4,user145,0,very hard,9251
28,user112,1,easy,16984
9,user111,1,easy,26749
9,user110,1,easy,31349
3,user138,0,medium,41265
5,user145,0,easy,11127
1,user140,1,medium,2147483647
1,user140,1,medium,2147483647
29,user112,0,medium,14918
1,user131,1,medium,107814
3,user137,1,easy,53990
1,user131,1,medium,107814
4,user138,1,medium,15826
1,user131,1,medium,107814
1,user131,1,medium,107814
1,user141,1,easy,181400
1,user131,1,medium,107814
1,user131,1,medium,107814
1,user131,1,medium,107814
1,user131,1,medium,107814
4,user137,1,hard,4392
1,user131,1,medium,107814
5,user138,0,easy,3381
1,user131,1,medium,107814
1,user131,1,medium,107814
1,user131,1,medium,107814
1,user131,1,medium,107814
3,user135,1,easy,107173
24,user102,1,easy,62978
5,user137,1,very hard,8798
25,user104,1,medium,148079
6,user138,1,medium,15975
6,user145,1,easy,47010
6,user137,0,very hard,10804
6,user145,1,easy,47010
6,user145,1,easy,47010
